time (UTC),lux (lx),uv,1-min precip (mm),wind_lull (m/s),wind_avg (m/s),wind_gust (m/s),wind_dir (deg),solar_radiation (W m^-2),local_day_precip_accum (mm)
2019-05-31 00:00:00,59706.0,4.62,,0.9,3.0,5.9,283,497.0,
2019-05-31 00:05:00,57731.0,4.36,,0.3,2.9,5.8,300,481.0,
2019-05-31 00:10:00,55776.0,4.34,,0.2,3.3,6.2,295,464.0,
2019-05-31 00:15:00,53794.0,4.3,,1.0,3.9,6.9,280,448.0,
2019-05-31 00:20:00,51893.0,4.02,,0.2,2.9,5.8,278,432.0,
2019-05-31 00:25:00,50224.0,3.93,,1.1,3.7,6.0,277,418.0,
2019-05-31 00:30:00,42774.0,4.04,,0.3,3.4,6.3,285,356.0,
2019-05-31 00:35:00,48866.0,3.93,,0.5,3.3,5.9,291,407.0,
2019-05-31 00:40:00,49584.0,4.11,,1.0,3.5,6.6,287,413.0,
2019-05-31 00:45:00,49424.0,4.25,,0.6,2.5,6.3,283,411.0,
2019-05-31 00:50:00,46630.0,3.9,,0.4,2.8,5.0,283,388.0,
2019-05-31 00:55:00,44011.0,3.76,,0.8,2.9,5.7,273,366.0,
2019-05-31 01:00:00,33383.0,2.76,,0.5,3.3,5.8,285,278.0,
2019-05-31 01:05:00,30050.0,2.46,,1.4,3.6,6.3,282,250.0,
2019-05-31 01:10:00,22009.0,1.73,,1.0,3.2,6.2,281,183.0,
2019-05-31 01:15:00,17351.0,1.35,,0.8,3.5,7.1,280,144.0,
2019-05-31 01:20:00,13658.0,1.06,,1.0,3.7,6.8,287,113.0,
2019-05-31 01:25:00,11488.0,0.88,,0.9,3.4,6.9,285,95.0,
2019-05-31 01:30:00,10138.0,0.76,,1.2,3.9,7.7,286,84.0,
2019-05-31 01:35:00,10461.0,0.81,,1.0,3.6,6.7,287,87.0,
2019-05-31 01:40:00,8530.0,0.64,,0.8,3.6,6.4,292,71.0,
2019-05-31 01:45:00,6846.0,0.51,,1.2,3.7,6.5,300,57.0,
2019-05-31 01:50:00,6256.0,0.48,,1.6,4.2,6.8,292,52.0,
2019-05-31 01:55:00,5553.0,0.42,,1.5,3.4,6.0,293,46.0,
2019-05-31 02:00:00,5093.0,0.38,,0.2,3.0,5.5,294,42.0,
2019-05-31 02:05:00,4560.0,0.34,,1.6,3.9,6.6,296,38.0,
2019-05-31 02:10:00,3887.0,0.29,,0.5,2.8,5.0,293,32.0,
2019-05-31 02:15:00,3633.0,0.28,,1.3,3.6,5.5,288,30.0,
2019-05-31 02:20:00,3254.0,0.25,,0.5,2.7,5.1,293,27.0,
2019-05-31 02:25:00,2825.0,0.22,,0.8,2.6,5.1,295,23.0,
2019-05-31 02:30:00,2319.0,0.18,,0.3,2.6,5.3,286,19.0,
2019-05-31 02:35:00,1851.0,0.14,,0.5,2.6,5.5,277,15.0,
2019-05-31 02:40:00,1478.0,0.11,,0.9,3.2,5.5,262,12.0,
2019-05-31 02:45:00,1167.0,0.08,,0.2,2.1,4.1,275,9.0,
2019-05-31 02:50:00,937.0,0.06,,0.8,2.4,3.8,275,7.0,
2019-05-31 02:55:00,747.0,0.06,,0.5,2.1,3.9,289,6.0,
2019-05-31 03:00:00,515.0,0.04,,0.8,2.5,4.0,295,4.0,
2019-05-31 03:05:00,328.0,0.02,,0.0,1.7,3.5,277,2.0,
2019-05-31 03:10:00,197.0,0.01,,0.5,1.8,2.8,269,1.0,
2019-05-31 03:15:00,106.0,0.01,,0.6,1.6,3.2,293,0.0,
2019-05-31 03:20:00,50.0,0.0,,0.5,1.8,2.8,284,0.0,
2019-05-31 03:25:00,21.0,0.0,,0.6,2.2,3.9,273,0.0,
2019-05-31 03:30:00,6.0,0.0,,0.0,1.7,3.6,291,0.0,
2019-05-31 03:35:00,0.0,0.0,,0.9,2.3,4.2,269,0.0,
2019-05-31 03:40:00,4.0,0.0,,0.8,1.9,3.6,288,0.0,
2019-05-31 03:45:00,4.0,0.0,,0.8,2.7,4.2,289,0.0,
2019-05-31 03:50:00,0.0,0.0,,0.5,2.6,4.1,292,0.0,
2019-05-31 03:55:00,0.0,0.0,,1.2,2.9,4.5,293,0.0,
2019-05-31 04:00:00,0.0,0.0,,0.9,2.4,4.1,286,0.0,
2019-05-31 04:05:00,0.0,0.0,,0.9,2.0,3.4,306,0.0,
2019-05-31 04:10:00,0.0,0.0,,0.6,1.7,3.0,305,0.0,
2019-05-31 04:15:00,0.0,0.0,,0.5,1.6,3.2,302,0.0,
2019-05-31 04:20:00,0.0,0.0,,1.1,2.0,3.2,300,0.0,
2019-05-31 04:25:00,0.0,0.0,,0.0,1.4,2.4,301,0.0,
2019-05-31 04:30:00,0.0,0.0,,0.0,1.1,2.1,297,0.0,
2019-05-31 04:35:00,0.0,0.0,,0.0,0.9,1.7,332,0.0,
2019-05-31 04:40:00,0.0,0.0,,0.0,0.8,2.4,2,0.0,
2019-05-31 04:45:00,0.0,0.0,,0.0,1.2,2.5,358,0.0,
2019-05-31 04:50:00,0.0,0.0,,0.0,1.2,2.4,271,0.0,
2019-05-31 04:55:00,0.0,0.0,,0.5,1.3,2.1,272,0.0,
2019-05-31 05:00:00,0.0,0.0,,0.0,0.8,1.4,276,0.0,
2019-05-31 05:05:00,0.0,0.0,,0.0,0.8,1.9,277,0.0,
2019-05-31 05:10:00,0.0,0.0,,0.0,1.0,2.0,335,0.0,
2019-05-31 05:15:00,0.0,0.0,,0.0,1.0,1.9,326,0.0,
2019-05-31 05:20:00,0.0,0.0,,0.0,0.7,1.7,307,0.0,
2019-05-31 05:25:00,0.0,0.0,,0.0,1.4,2.8,311,0.0,
2019-05-31 05:30:00,0.0,0.0,,0.0,0.8,2.0,316,0.0,
2019-05-31 05:35:00,0.0,0.0,,0.0,0.2,0.9,317,0.0,
2019-05-31 05:40:00,0.0,0.0,,0.0,0.9,1.7,288,0.0,
2019-05-31 05:45:00,0.0,0.0,,0.5,1.5,2.7,292,0.0,
2019-05-31 05:50:00,0.0,0.0,,0.0,1.2,2.4,320,0.0,
2019-05-31 05:55:00,0.0,0.0,,0.0,0.9,1.9,19,0.0,
2019-05-31 06:00:00,0.0,0.0,,0.0,0.9,1.6,21,0.0,
2019-05-31 06:05:00,0.0,0.0,,0.0,1.0,2.0,22,0.0,
2019-05-31 06:10:00,0.0,0.0,,0.0,1.4,2.9,322,0.0,
2019-05-31 06:15:00,0.0,0.0,,0.0,1.2,2.5,345,0.0,
2019-05-31 06:20:00,0.0,0.0,,0.3,1.1,2.1,357,0.0,
2019-05-31 06:25:00,0.0,0.0,,0.4,1.1,2.1,4,0.0,
2019-05-31 06:30:00,0.0,0.0,,0.0,1.0,2.1,357,0.0,
2019-05-31 06:35:00,0.0,0.0,,0.0,1.2,2.5,340,0.0,
2019-05-31 06:40:00,0.0,0.0,,0.0,1.1,2.2,353,0.0,
2019-05-31 06:45:00,0.0,0.0,,0.0,1.1,2.4,346,0.0,
2019-05-31 06:50:00,0.0,0.0,,0.0,0.6,2.2,354,0.0,
2019-05-31 06:55:00,0.0,0.0,,0.3,1.2,2.0,355,0.0,
2019-05-31 07:00:00,0.0,0.0,,0.5,1.1,2.0,17,0.0,
2019-05-31 07:05:00,0.0,0.0,,0.2,1.2,2.1,354,0.0,
2019-05-31 07:10:00,0.0,0.0,,0.5,1.1,2.1,321,0.0,
2019-05-31 07:15:00,0.0,0.0,,0.0,0.8,2.6,350,0.0,
2019-05-31 07:20:00,0.0,0.0,,0.0,0.9,2.1,38,0.0,
2019-05-31 07:25:00,0.0,0.0,,0.0,0.7,1.3,75,0.0,
2019-05-31 07:30:00,0.0,0.0,,0.5,1.0,1.8,90,0.0,
2019-05-31 07:35:00,0.0,0.0,,0.0,0.9,1.6,67,0.0,
2019-05-31 07:40:00,0.0,0.0,,0.0,0.7,2.0,7,0.0,
2019-05-31 07:45:00,0.0,0.0,,0.0,0.8,2.2,350,0.0,
2019-05-31 07:50:00,0.0,0.0,,0.0,1.0,2.0,322,0.0,
2019-05-31 07:55:00,0.0,0.0,,0.0,1.1,1.7,293,0.0,
2019-05-31 08:00:00,0.0,0.0,,0.0,0.2,1.0,324,0.0,
2019-05-31 08:05:00,0.0,0.0,,0.0,0.5,1.0,45,0.0,
2019-05-31 08:10:00,0.0,0.0,,0.0,0.3,1.0,305,0.0,
2019-05-31 08:15:00,0.0,0.0,,0.0,1.0,1.8,295,0.0,
2019-05-31 08:20:00,0.0,0.0,,0.0,1.0,1.5,286,0.0,
2019-05-31 08:25:00,0.0,0.0,,0.0,0.9,2.0,275,0.0,
2019-05-31 08:30:00,0.0,0.0,,0.0,0.9,1.6,280,0.0,
2019-05-31 08:35:00,0.0,0.0,,0.4,1.2,1.9,274,0.0,
2019-05-31 08:40:00,0.0,0.0,,0.5,1.0,1.7,282,0.0,
2019-05-31 08:45:00,0.0,0.0,,0.0,0.6,1.9,231,0.0,
2019-05-31 08:50:00,0.0,0.0,,0.4,1.6,2.6,219,0.0,
2019-05-31 08:55:00,0.0,0.0,,0.0,1.0,1.8,237,0.0,
2019-05-31 09:00:00,0.0,0.0,,0.2,1.2,1.9,261,0.0,
2019-05-31 09:05:00,0.0,0.0,,0.4,1.1,1.8,254,0.0,
